COMPANY CODE,BUSINESS AREA,CREDIT CONTROL AREA,CUSTOMER,BRANCH,BRANCH NAME,CUSTOMER NAME,DOCUMENT TYPE,DOCUMENT NUMBER,BILLING DOCUMENT,REFERENCE KEY 2,REFERENCE KEY 3,ISSUED DATE,NET DUE DATE,TERMS OF PAYMENT,DUE DAYS,AMOUNT,CLEARING,COMMITTED,BALANCE,CUR.,CREDIT LIMIT,TEXT,NOT OVERDUE,1 TO 30 DD,31 TO 60 DD,> TO 60 - DD,DOC.TYPE,DIVISION,DAYS LATE AT THE END OF THE MONTH,PAYMENTS AND CREDIT NOTES,EMAIL,COMPANY CODE2,# DOCUMENT,CODE
7802,1002,TT00,51043207,67067099, INACTIVE ZC14 A & N,A & N Hardware & Plumbing,X8,5000000025,0,0,0,5/01/2022,5/01/2022,0,1381,1330,0,0,1330,TTD,0,TCL-200891,0,0,0,1330,Bounced Cheque,Cement,1395,0,anhardware@gmail.com,TCL,5000000025,4543
7802,1002,TT00,51043208,67067100,Z007 A & S,A & S Hardware & General,DG,3000060804,502657013,0,0,17/07/2025,17/07/2025,0,92,-490.01,0,0,-490.01,TTD,16380,0,0,0,0,0,Credit Note,Cement,106,-490.01,a.shardware786@gmail.com,TCL,502657013,3462
7802,1002,TT00,51043209,67067101,Z007 A + H,A + Hardware Limited,RV,3400028840,503584108,0,0,17/10/2025,24/10/2025,0,-7,3960.34,0,0,3960.34,TTD,58110,0,3960.34,0,0,0,Invoice,Cement,7,0,armaali@hotmail.com,TCL,503584108,2381
7802,1002,TT00,51043209,67067101,Z007 A + H,A + Hardware Limited,DZ,9000020059,0,FCZ01,20251016/0787/,17/10/2025,16/10/2025,0,0,-3960.34,0,0,-3960.34,TTD,58110,PO# 17-10-2025,0,0,0,0,Payment,Cement,15,-3960.34,armaali@hotmail.com,TCL,9000020059,2381
7802,1002,TT00,51043214,67067106,CRMA A.M. SALES,A.M. Sales and Services Limited,RV,3400020794,502958945,0,0,15/08/2025,29/08/2025,0,49,15841.35,0,0,15841.35,TTD,161000,0,0,0,15841.35,0,Invoice,Cement,63,0,amhardware@gmail.com,TCL,502958945,5976
7802,1002,TT00,51043214,67067106,CRMA A.M. SALES,A.M. Sales and Services Limited,RV,3400022110,502813671,0,0,31/07/2025,14/08/2025,0,64,49546.35,0,0,49546.35,TTD,161000,0,0,0,0,49546.35,Invoice,Cement,78,0,amhardware@gmail.com,TCL,502813671,5976
7802,1002,TT00,51043214,67067106,CRMA A.M. SALES,A.M. Sales and Services Limited,RV,3400022301,502806534,0,0,31/07/2025,14/08/2025,0,64,15841.35,12851.31,0,2990.04,TTD,161000,0,0,0,0,2990.04,Invoice,Cement,78,0,amhardware@gmail.com,TCL,502806534,5976
7802,1002,TT00,51043214,67067106,CRMA A.M. SALES,A.M. Sales and Services Limited,RV,3400022407,502810597,0,0,31/07/2025,14/08/2025,0,64,7920.68,0,0,7920.68,TTD,161000,0,0,0,0,7920.68,Invoice,Cement,78,0,amhardware@gmail.com,TCL,502810597,5976
7802,1002,TT00,51043214,67067106,CRMA A.M. SALES,A.M. Sales and Services Limited,RV,3400022410,502811246,0,0,31/07/2025,14/08/2025,0,64,16515.45,0,0,16515.45,TTD,161000,0,0,0,0,16515.45,Invoice,Cement,78,0,amhardware@gmail.com,TCL,502811246,5976
7802,1002,TT00,51043214,67067106,CRMA A.M. SALES,A.M. Sales and Services Limited,RV,3400022411,502813636,0,0,31/07/2025,14/08/2025,0,64,7920.68,0,0,7920.68,TTD,161000,0,0,0,0,7920.68,Invoice,Cement,78,0,amhardware@gmail.com,TCL,502813636,5976
7802,1002,TT00,51043214,67067106,CRMA A.M. SALES,A.M. Sales and Services Limited,RV,3400022690,502939167,0,0,13/08/2025,27/08/2025,0,51,48872.25,0,0,48872.25,TTD,161000,0,0,0,48872.25,0,Invoice,Cement,65,0,amhardware@gmail.com,TCL,502939167,5976
7802,1009,TT00,51043214,67067106,CRMA A.M. SALES,A.M. Sales and Services Limited,RV,3400023075,502975622,0,0,18/08/2025,1/09/2025,0,46,1350,0,0,1350,TTD,161000,0,0,0,1350,0,Invoice,Commercialization,60,0,amhardware@gmail.com,TCL,502975622,5976
7802,1009,TT00,51043214,67067106,CRMA A.M. SALES,A.M. Sales and Services Limited,RV,3400025857,503244825,0,0,15/09/2025,29/09/2025,0,18,1350,0,0,1350,TTD,161000,0,0,1350,0,0,Invoice,Commercialization,32,0,amhardware@gmail.com,TCL,503244825,5976
7802,1009,TT00,51043214,67067106,CRMA A.M. SALES,A.M. Sales and Services Limited,RV,3400028266,503498036,0,0,8/10/2025,22/10/2025,0,-5,1350,0,0,1350,TTD,161000,0,1350,0,0,0,Invoice,Commercialization,9,0,amhardware@gmail.com,TCL,503498036,5976
7802,1002,TT00,51043215,67067107,ZCON A.M.M.,A.M.Marketing Company Limited,DZ,9000019452,0,RBL01,20251016/8575/,16/10/2025,16/10/2025,0,0,-17189.55,0,17189.55,0,TTD,3,PO# 629133,0,0,0,0,Payment,Cement,15,0,elijah@thl.tt,TCL,9000019452,4895
7803,1004,TT01,51043215,67067107,ZCON A.M.M.,A.M.Marketing Company Limited,RV,3400004641,503572551,0,0,15/10/2025,15/10/2025,0,2,3099.6,0,0,3099.6,TTD,0,0,0,3099.6,0,0,Invoice,Aggregates,16,0,elijah@thl.tt,RML,503572551,4895
7803,1004,TT01,51043215,67067107,ZCON A.M.M.,A.M.Marketing Company Limited,DZ,9000000817,0,OTHER,20250612/7760/,12/06/2025,12/06/2025,0,0,-10980.45,-10577.25,0,-403.2,TTD,0,PO# 622785,0,0,0,0,Payment,Aggregates,141,-403.2,elijah@thl.tt,RML,9000000817,4895
7803,1004,TT01,51043215,67067107,ZCON A.M.M.,A.M.Marketing Company Limited,DZ,9000001408,0,OTHER,20250707/7957/,7/07/2025,7/07/2025,0,0,-7200,-5977.8,0,-1222.2,TTD,0,PO# 622791,0,0,0,0,Payment,Aggregates,116,-1222.2,elijah@thl.tt,RML,9000001408,4895
7803,1004,TT01,51043215,67067107,ZCON A.M.M.,A.M.Marketing Company Limited,DZ,9000001463,0,OTHER,20250905/8352/,5/09/2025,5/09/2025,0,0,-16650,-9359.55,0,-7290.45,TTD,0,OR# 503159085,0,0,0,0,Payment,Aggregates,56,-7290.45,elijah@thl.tt,RML,9000001463,4895
7803,1004,TT01,51043215,67067107,ZCON A.M.M.,A.M.Marketing Company Limited,DZ,9000001534,0,OTHER,20250718/8038/,18/07/2025,18/07/2025,0,0,-12600,-8794.8,0,-3805.2,TTD,0,PO#622800,0,0,0,0,Payment,Aggregates,105,-3805.2,elijah@thl.tt,RML,9000001534,4895
7803,1004,TT01,51043215,67067107,ZCON A.M.M.,A.M.Marketing Company Limited,DZ,9000001542,0,OTHER,20250804/8168/,4/08/2025,4/08/2025,0,0,-12600,-11806.2,0,-793.8,TTD,0,PO# 626287,0,0,0,0,Payment,Aggregates,88,-793.8,elijah@thl.tt,RML,9000001542,4895
7803,1004,TT01,51043215,67067107,ZCON A.M.M.,A.M.Marketing Company Limited,DZ,9000001807,0,OTHER,20251014/8561/,14/10/2025,14/10/2025,0,0,-19800,0,0,-19800,TTD,0,PO# 629127,0,0,0,0,Payment,Aggregates,17,-19800,elijah@thl.tt,RML,9000001807,4895
7802,1002,TT00,51043219,67067111,CRMA Z030 AD SO,Ad Sons Hardware & General Store,RV,3400019646,502540786,0,0,7/07/2025,6/08/2025,0,72,15841.35,0,0,15841.35,TTD,500000,0,0,0,0,15841.35,Invoice,Cement,86,0,sherizanali@rocketmail.com,TCL,502540786,9571
7802,1002,TT00,51043219,67067111,CRMA Z030 AD SO,Ad Sons Hardware & General Store,RV,3400020101,502576618,0,0,10/07/2025,9/08/2025,0,69,6446.08,0,0,6446.08,TTD,500000,0,0,0,0,6446.08,Invoice,Cement,83,0,sherizanali@rocketmail.com,TCL,502576618,9571
7802,1002,TT00,51043219,67067111,CRMA Z030 AD SO,Ad Sons Hardware & General Store,RV,3400020253,502641243,0,0,16/07/2025,15/08/2025,0,63,15841.35,0,0,15841.35,TTD,500000,0,0,0,0,15841.35,Invoice,Cement,77,0,sherizanali@rocketmail.com,TCL,502641243,9571
7802,1002,TT00,51043219,67067111,CRMA Z030 AD SO,Ad Sons Hardware & General Store,RV,3400020263,502644273,0,0,16/07/2025,15/08/2025,0,63,4297.39,0,0,4297.39,TTD,500000,0,0,0,0,4297.39,Invoice,Cement,77,0,sherizanali@rocketmail.com,TCL,502644273,9571
7802,1002,TT00,51043219,67067111,CRMA Z030 AD SO,Ad Sons Hardware & General Store,RV,3400020296,502656618,0,0,17/07/2025,16/08/2025,0,62,12892.16,0,0,12892.16,TTD,500000,0,0,0,0,12892.16,Invoice,Cement,76,0,sherizanali@rocketmail.com,TCL,502656618,9571
7802,1002,TT00,51043219,67067111,CRMA Z030 AD SO,Ad Sons Hardware & General Store,RV,3400020695,502672906,0,0,18/07/2025,17/08/2025,0,61,4297.39,0,0,4297.39,TTD,500000,0,0,0,0,4297.39,Invoice,Cement,75,0,sherizanali@rocketmail.com,TCL,502672906,9571
7802,1002,TT00,51043219,67067111,CRMA Z030 AD SO,Ad Sons Hardware & General Store,RV,3400020696,502672907,0,0,18/07/2025,17/08/2025,0,61,7920.68,0,0,7920.68,TTD,500000,0,0,0,0,7920.68,Invoice,Cement,75,0,sherizanali@rocketmail.com,TCL,502672907,9571
7802,1002,TT00,51043219,67067111,CRMA Z030 AD SO,Ad Sons Hardware & General Store,RV,3400020838,502673086,0,0,18/07/2025,17/08/2025,0,61,11881.01,0,0,11881.01,TTD,500000,0,0,0,0,11881.01,Invoice,Cement,75,0,sherizanali@rocketmail.com,TCL,502673086,9571
7802,1002,TT00,51043219,67067111,CRMA Z030 AD SO,Ad Sons Hardware & General Store,RV,3400020839,502673088,0,0,18/07/2025,17/08/2025,0,61,8594.78,0,0,8594.78,TTD,500000,0,0,0,0,8594.78,Invoice,Cement,75,0,sherizanali@rocketmail.com,TCL,502673088,9571
7802,1002,TT00,51043219,67067111,CRMA Z030 AD SO,Ad Sons Hardware & General Store,RV,3400020941,502692021,0,0,21/07/2025,20/08/2025,0,58,19801.69,0,0,19801.69,TTD,500000,0,0,0,19801.69,0,Invoice,Cement,72,0,sherizanali@rocketmail.com,TCL,502692021,9571
7802,1002,TT00,51043219,67067111,CRMA Z030 AD SO,Ad Sons Hardware & General Store,RV,3400021002,502672775,0,0,18/07/2025,17/08/2025,0,61,2443.61,0,0,2443.61,TTD,500000,0,0,0,0,2443.61,Invoice,Cement,75,0,sherizanali@rocketmail.com,TCL,502672775,9571
7802,1002,TT00,51043219,67067111,CRMA Z030 AD SO,Ad Sons Hardware & General Store,RV,3400021031,502716465,0,0,23/07/2025,22/08/2025,0,56,19801.69,0,0,19801.69,TTD,500000,0,0,0,19801.69,0,Invoice,Cement,70,0,sherizanali@rocketmail.com,TCL,502716465,9571
7802,1002,TT00,51043219,67067111,CRMA Z030 AD SO,Ad Sons Hardware & General Store,RV,3400021056,502721828,0,0,23/07/2025,22/08/2025,0,56,19801.69,0,0,19801.69,TTD,500000,0,0,0,19801.69,0,Invoice,Cement,70,0,sherizanali@rocketmail.com,TCL,502721828,9571
7802,1002,TT00,51043219,67067111,CRMA Z030 AD SO,Ad Sons Hardware & General Store,RV,3400021066,502728289,0,0,23/07/2025,22/08/2025,0,56,6446.08,0,0,6446.08,TTD,500000,0,0,0,6446.08,0,Invoice,Cement,70,0,sherizanali@rocketmail.com,TCL,502728289,9571
7802,1002,TT00,51043219,67067111,CRMA Z030 AD SO,Ad Sons Hardware & General Store,RV,3400021073,502747287,0,0,25/07/2025,24/08/2025,0,54,7920.68,0,0,7920.68,TTD,500000,0,0,0,7920.68,0,Invoice,Cement,68,0,sherizanali@rocketmail.com,TCL,502747287,9571
7802,1002,TT00,51043219,67067111,CRMA Z030 AD SO,Ad Sons Hardware & General Store,RV,3400021110,502672091,0,0,18/07/2025,17/08/2025,0,61,2443.61,0,0,2443.61,TTD,500000,0,0,0,0,2443.61,Invoice,Cement,75,0,sherizanali@rocketmail.com,TCL,502672091,9571
7802,1002,TT00,51043219,67067111,CRMA Z030 AD SO,Ad Sons Hardware & General Store,RV,3400021135,502691254,0,0,21/07/2025,20/08/2025,0,58,7920.68,0,0,7920.68,TTD,500000,0,0,0,7920.68,0,Invoice,Cement,72,0,sherizanali@rocketmail.com,TCL,502691254,9571
7802,1002,TT00,51043219,67067111,CRMA Z030 AD SO,Ad Sons Hardware & General Store,RV,3400021138,502691258,0,0,21/07/2025,20/08/2025,0,58,2148.69,0,0,2148.69,TTD,500000,0,0,0,2148.69,0,Invoice,Cement,72,0,sherizanali@rocketmail.com,TCL,502691258,9571
7802,1002,TT00,51043219,67067111,CRMA Z030 AD SO,Ad Sons Hardware & General Store,RV,3400021139,502691260,0,0,21/07/2025,20/08/2025,0,58,4297.39,0,0,4297.39,TTD,500000,0,0,0,4297.39,0,Invoice,Cement,72,0,sherizanali@rocketmail.com,TCL,502691260,9571
7802,1009,TT00,51043219,67067111,CRMA Z030 AD SO,Ad Sons Hardware & General Store,RV,3400021417,502691469,0,0,21/07/2025,20/08/2025,0,58,1350,0,0,1350,TTD,500000,0,0,0,1350,0,Invoice,Commercialization,72,0,sherizanali@rocketmail.com,TCL,502691469,9571
7802,1009,TT00,51043219,67067111,CRMA Z030 AD SO,Ad Sons Hardware & General Store,RV,3400021418,502691472,0,0,21/07/2025,20/08/2025,0,58,1350,0,0,1350,TTD,500000,0,0,0,1350,0,Invoice,Commercialization,72,0,sherizanali@rocketmail.com,TCL,502691472,9571
7802,1002,TT00,51043219,67067111,CRMA Z030 AD SO,Ad Sons Hardware & General Store,RV,3400021442,502721273,0,0,23/07/2025,22/08/2025,0,56,9268.88,0,0,9268.88,TTD,500000,0,0,0,9268.88,0,Invoice,Cement,70,0,sherizanali@rocketmail.com,TCL,502721273,9571
7802,1002,TT00,51043219,67067111,CRMA Z030 AD SO,Ad Sons Hardware & General Store,RV,3400021697,502804416,0,0,31/07/2025,30/08/2025,0,48,6446.08,0,0,6446.08,TTD,500000,0,0,0,6446.08,0,Invoice,Cement,62,0,sherizanali@rocketmail.com,TCL,502804416,9571
7802,1002,TT00,51043219,67067111,CRMA Z030 AD SO,Ad Sons Hardware & General Store,RV,3400021707,502759755,0,0,26/07/2025,25/08/2025,0,53,6446.08,0,0,6446.08,TTD,500000,0,0,0,6446.08,0,Invoice,Cement,67,0,sherizanali@rocketmail.com,TCL,502759755,9571
7802,1002,TT00,51043219,67067111,CRMA Z030 AD SO,Ad Sons Hardware & General Store,RV,3400022002,502777880,0,0,29/07/2025,28/08/2025,0,50,15841.35,0,0,15841.35,TTD,500000,0,0,0,15841.35,0,Invoice,Cement,64,0,sherizanali@rocketmail.com,TCL,502777880,9571
7802,1002,TT00,51043219,67067111,CRMA Z030 AD SO,Ad Sons Hardware & General Store,RV,3400022111,502813672,0,0,31/07/2025,30/08/2025,0,48,4297.39,0,0,4297.39,TTD,500000,0,0,0,4297.39,0,Invoice,Cement,62,0,sherizanali@rocketmail.com,TCL,502813672,9571
7802,1002,TT00,51043219,67067111,CRMA Z030 AD SO,Ad Sons Hardware & General Store,RV,3400022222,502808971,0,0,31/07/2025,30/08/2025,0,48,38002.39,0,0,38002.39,TTD,500000,0,0,0,38002.39,0,Invoice,Cement,62,0,sherizanali@rocketmail.com,TCL,502808971,9571
7802,1009,TT00,51043219,67067111,CRMA Z030 AD SO,Ad Sons Hardware & General Store,RV,3400023333,502952941,0,0,15/08/2025,14/09/2025,0,33,1350,0,0,1350,TTD,500000,0,0,0,1350,0,Invoice,Commercialization,47,0,sherizanali@rocketmail.com,TCL,502952941,9571
7802,1009,TT00,51043219,67067111,CRMA Z030 AD SO,Ad Sons Hardware & General Store,RV,3400025207,503158269,0,0,5/09/2025,5/10/2025,0,12,1350,0,0,1350,TTD,500000,0,0,1350,0,0,Invoice,Commercialization,26,0,sherizanali@rocketmail.com,TCL,503158269,9571
7802,1009,TT00,51043219,67067111,CRMA Z030 AD SO,Ad Sons Hardware & General Store,RV,3400028153,503537772,0,0,13/10/2025,12/11/2025,0,-26,1350,0,0,1350,TTD,500000,0,1350,0,0,0,Invoice,Commercialization,-12,0,sherizanali@rocketmail.com,TCL,503537772,9571
7802,1002,TT00,51043219,67067111,CRMA Z030 AD SO,Ad Sons Hardware & General Store,DZ,9000019412,0,FCZ01,20251003/0556/,3/10/2025,3/10/2025,0,0,-52832.59,-41817.25,0,-11015.34,TTD,500000,"INV# 0260,5053,5284,5396,9495",0,0,0,0,Payment,Cement,28,-11015.34,sherizanali@rocketmail.com,TCL,9000019412,9571
7802,1002,TT00,51043222,67067115,ZCON ADVAN,Advance Readymix Limited,DG,3000003385,500625000,0,0,17/01/2025,17/01/2025,0,273,-43654.16,-43595.74,0,-58.42,TTD,45000,0,0,0,0,0,Credit Note,Cement,287,-58.42,rachelm@paramounttransport.com,TCL,500625000,6328
7802,1002,TT00,51043222,67067115,ZCON ADVAN,Advance Readymix Limited,DG,3000035611,501802653,0,0,29/04/2025,29/04/2025,0,171,-12510,0,0,-12510,TTD,45000,0,0,0,0,0,Credit Note,Cement,185,-12510,rachelm@paramounttransport.com,TCL,501802653,6328
7802,1002,TT00,51043222,67067115,ZCON ADVAN,Advance Readymix Limited,DG,3000047889,502244731,0,0,9/06/2025,9/06/2025,0,130,-2790,0,0,-2790,TTD,45000,0,0,0,0,0,Credit Note,Cement,144,-2790,rachelm@paramounttransport.com,TCL,502244731,6328
7802,1002,TT00,51043222,67067115,ZCON ADVAN,Advance Readymix Limited,DG,3000070535,502998044,0,0,20/08/2025,20/08/2025,0,58,-1080,0,0,-1080,TTD,45000,0,0,0,0,0,Credit Note,Cement,72,-1080,rachelm@paramounttransport.com,TCL,502998044,6328
7802,1002,TT00,51043222,67067115,ZCON ADVAN,Advance Readymix Limited,DG,3000081060,503389505,0,0,29/09/2025,29/09/2025,0,18,-3330,0,0,-3330,TTD,45000,0,0,0,0,0,Credit Note,Cement,32,-3330,rachelm@paramounttransport.com,TCL,503389505,6328
7802,1002,TT00,51043222,67067115,ZCON ADVAN,Advance Readymix Limited,DZ,9000019905,0,RBL01,20251002/1824/,9/10/2025,2/10/2025,0,0,-329062.5,-257353.34,71709.16,0,TTD,45000,PO# 8662,0,0,0,0,Payment,Cement,29,0,rachelm@paramounttransport.com,TCL,9000019905,6328
7803,1003,TT01,51079758,67186657,AINSLEY JACKMAN,AINSLEY JACKMAN,DZ,9000000426,0,OTHER,20250221/9920/,21/02/2025,21/02/2025,0,0,-31906.13,-31809.38,0,-96.75,TTD,0,QT#501034698,0,0,0,0,Payment,Concrete / Ready Mix,252,-96.75,ainsleyjackman@gamil.com,RML,9000000426,2912
7802,1002,TT00,51043227,67067120,Z045 ALESC,Alescon Readymix Limited,RV,3400024395,503094200,0,0,29/08/2025,13/10/2025,0,4,31614.3,0,0,31614.3,TTD,2810000,0,0,31614.3,0,0,Invoice,Cement,18,0,accounts@alesconreadymix.com,TCL,503094200,9923
7802,1002,TT00,51043227,67067120,Z045 ALESC,Alescon Readymix Limited,RV,3400024548,503102157,0,0,30/08/2025,14/10/2025,0,3,27969.3,0,0,27969.3,TTD,2810000,0,0,27969.3,0,0,Invoice,Cement,17,0,accounts@alesconreadymix.com,TCL,503102157,9923
7802,1002,TT00,51043227,67067120,Z045 ALESC,Alescon Readymix Limited,RV,3400024675,503118467,0,0,2/09/2025,17/10/2025,0,0,27920.7,0,0,27920.7,TTD,2810000,0,27920.7,0,0,0,Invoice,Cement,14,0,accounts@alesconreadymix.com,TCL,503118467,9923
7802,1002,TT00,51043227,67067120,Z045 ALESC,Alescon Readymix Limited,RV,3400024692,503124528,0,0,2/09/2025,17/10/2025,0,0,28917,0,0,28917,TTD,2810000,0,28917,0,0,0,Invoice,Cement,14,0,accounts@alesconreadymix.com,TCL,503124528,9923
7802,1002,TT00,51043227,67067120,Z045 ALESC,Alescon Readymix Limited,RV,3400024832,503186378,0,0,9/09/2025,24/10/2025,0,-7,19464.3,0,0,19464.3,TTD,2810000,0,19464.3,0,0,0,Invoice,Cement,7,0,accounts@alesconreadymix.com,TCL,503186378,9923
7802,1002,TT00,51043227,67067120,Z045 ALESC,Alescon Readymix Limited,RV,3400024852,503188336,0,0,9/09/2025,24/10/2025,0,-7,29087.1,0,0,29087.1,TTD,2810000,0,29087.1,0,0,0,Invoice,Cement,7,0,accounts@alesconreadymix.com,TCL,503188336,9923
7802,1002,TT00,51043227,67067120,Z045 ALESC,Alescon Readymix Limited,RV,3400024909,503101402,0,0,30/08/2025,14/10/2025,0,3,31128.3,0,0,31128.3,TTD,2810000,0,0,31128.3,0,0,Invoice,Cement,17,0,accounts@alesconreadymix.com,TCL,503101402,9923
7802,1002,TT00,51043227,67067120,Z045 ALESC,Alescon Readymix Limited,RV,3400024954,503140325,0,0,3/09/2025,18/10/2025,0,-1,28674,0,0,28674,TTD,2810000,0,28674,0,0,0,Invoice,Cement,13,0,accounts@alesconreadymix.com,TCL,503140325,9923
7802,1002,TT00,51043227,67067120,Z045 ALESC,Alescon Readymix Limited,RV,3400025028,503140696,0,0,3/09/2025,18/10/2025,0,-1,28819.8,0,0,28819.8,TTD,2810000,0,28819.8,0,0,0,Invoice,Cement,13,0,accounts@alesconreadymix.com,TCL,503140696,9923
7802,1002,TT00,51043227,67067120,Z045 ALESC,Alescon Readymix Limited,RV,3400025038,503147252,0,0,4/09/2025,19/10/2025,0,-2,29986.2,0,0,29986.2,TTD,2810000,0,29986.2,0,0,0,Invoice,Cement,12,0,accounts@alesconreadymix.com,TCL,503147252,9923
7802,1002,TT00,51043227,67067120,Z045 ALESC,Alescon Readymix Limited,RV,3400025066,503151760,0,0,4/09/2025,19/10/2025,0,-2,23886.9,0,0,23886.9,TTD,2810000,0,23886.9,0,0,0,Invoice,Cement,12,0,accounts@alesconreadymix.com,TCL,503151760,9923
7802,1002,TT00,51043227,67067120,Z045 ALESC,Alescon Readymix Limited,RV,3400025090,503157805,0,0,5/09/2025,20/10/2025,0,-3,28917,0,0,28917,TTD,2810000,0,28917,0,0,0,Invoice,Cement,11,0,accounts@alesconreadymix.com,TCL,503157805,9923
7802,1002,TT00,51043227,67067120,Z045 ALESC,Alescon Readymix Limited,RV,3400025233,503160923,0,0,5/09/2025,20/10/2025,0,-3,29111.4,0,0,29111.4,TTD,2810000,0,29111.4,0,0,0,Invoice,Cement,11,0,accounts@alesconreadymix.com,TCL,503160923,9923
7802,1002,TT00,51043227,67067120,Z045 ALESC,Alescon Readymix Limited,RV,3400025256,503175620,0,0,8/09/2025,23/10/2025,0,-6,31225.5,0,0,31225.5,TTD,2810000,0,31225.5,0,0,0,Invoice,Cement,8,0,accounts@alesconreadymix.com,TCL,503175620,9923
7802,1002,TT00,51043227,67067120,Z045 ALESC,Alescon Readymix Limited,RV,3400025338,503190384,0,0,9/09/2025,24/10/2025,0,-7,33193.8,0,0,33193.8,TTD,2810000,0,33193.8,0,0,0,Invoice,Cement,7,0,accounts@alesconreadymix.com,TCL,503190384,9923
7802,1002,TT00,51043227,67067120,Z045 ALESC,Alescon Readymix Limited,RV,3400025398,503209947,0,0,11/09/2025,26/10/2025,0,-9,29597.4,0,0,29597.4,TTD,2810000,0,29597.4,0,0,0,Invoice,Cement,5,0,accounts@alesconreadymix.com,TCL,503209947,9923
7802,1002,TT00,51043227,67067120,Z045 ALESC,Alescon Readymix Limited,RV,3400025407,503171646,0,0,6/09/2025,21/10/2025,0,-4,27896.4,0,0,27896.4,TTD,2810000,0,27896.4,0,0,0,Invoice,Cement,10,0,accounts@alesconreadymix.com,TCL,503171646,9923
7802,1002,TT00,51043227,67067120,Z045 ALESC,Alescon Readymix Limited,RV,3400025478,503278687,0,0,17/09/2025,1/11/2025,0,-15,29597.4,0,0,29597.4,TTD,2810000,0,29597.4,0,0,0,Invoice,Cement,-1,0,accounts@alesconreadymix.com,TCL,503278687,9923
